filename,path,sharpness_score
28.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\28.jpg,314.0362980526824
30.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\30.jpg,314.0362980526824
63.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\63.jpg,316.2940153206867
162.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\162.jpg,317.0400205435156
126.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\126.jpg,318.8964886503823
30.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\30.jpg,320.8623520699468
99.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\99.jpg,320.8623520699468
188.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\188.jpg,330.5726652779859
150.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\150.jpg,331.7458293900515
117.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\117.jpg,334.34903589984015
161.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\161.jpg,335.6687237533742
95a.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\95a.jpg,336.7858595913248
207.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\207.jpg,336.96182867971646
250.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\250.jpg,338.62708293300375
75.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\75.jpg,341.1002299931929
172.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\172.jpg,342.264174192953
45a.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\45a.jpg,343.1220698478829
111.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\111.jpg,343.3181826424305
37.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\37.jpg,343.8196331576198
96a.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\96a.jpg,346.9120383949642
66.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\66.jpg,349.732483091752
47.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\47.jpg,352.28780834734874
81c.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\81c.jpg,352.3762003238079
3.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\3.jpg,355.331278125
82.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\82.jpg,356.25742903739837
169.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\169.jpg,358.3979965762383
195.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\195.jpg,359.2227980306329
16.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\16.jpg,361.32325689932776
219.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\219.jpg,361.7181810932112
147.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\147.jpg,364.6089094480725
78.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\78.jpg,366.4570948769546
86.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\86.jpg,369.78704833141296
28a.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\28a.jpg,373.6989071768386
131.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\131.jpg,374.45399601417375
187.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\187.jpg,375.0866627941191
185.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\185.jpg,383.15404821825877
81a.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\81a.jpg,384.70060465109214
188b.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\188b.jpg,385.48416924799545
196.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\196.jpg,385.94329353341874
71b.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\71b.jpg,387.14351159445465
37.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\37.jpg,389.64055273487145
45.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\45.jpg,392.1919719310429
